"name","100m","Long.jump","Shot.put","High.jump","400m","110m.hurdle","Discus","Pole.vault","Javeline","1500m","Rank","Points","Competition"
"SEBRLE",11.04,7.58,14.83,2.07,49.81,14.69,43.75,5.02,63.19,291.7,1,8217,"Decastar"
"CLAY",10.76,7.4,14.26,1.86,49.37,14.05,50.72,4.92,60.15,301.5,2,8122,"Decastar"
"KARPOV",11.02,7.3,14.77,2.04,48.37,14.09,48.95,4.92,50.31,300.2,3,8099,"Decastar"
"BERNARD",11.02,7.23,14.25,1.92,48.93,14.99,40.87,5.32,62.77,280.1,4,8067,"Decastar"
"YURKOV",11.34,7.09,15.19,2.1,50.42,15.31,46.26,4.72,63.44,276.4,5,8036,"Decastar"
"WARNERS",11.11,7.6,14.31,1.98,48.68,14.23,41.1,4.92,51.77,278.1,6,8030,"Decastar"
"ZSIVOCZKY",11.13,7.3,13.48,2.01,48.62,14.17,45.67,4.42,55.37,268,7,8004,"Decastar"
"McMULLEN",10.83,7.31,13.76,2.13,49.91,14.38,44.41,4.42,56.37,285.1,8,7995,"Decastar"
"MARTINEAU",11.64,6.81,14.57,1.95,50.14,14.93,47.6,4.92,52.33,262.1,9,7802,"Decastar"
"HERNU",11.37,7.56,14.41,1.86,51.1,15.06,44.99,4.82,57.19,285.1,10,7733,"Decastar"
"BARRAS",11.33,6.97,14.09,1.95,49.48,14.48,42.1,4.72,55.4,282,11,7708,"Decastar"
"NOOL",11.33,7.27,12.68,1.98,49.2,15.29,37.92,4.62,57.44,266.6,12,7651,"Decastar"
"BOURGUIGNON",11.36,6.8,13.46,1.86,51.16,15.67,40.49,5.02,54.68,291.7,13,7313,"Decastar"
"Sebrle",10.85,7.84,16.36,2.12,48.36,14.05,48.72,5,70.52,280.01,1,8893,"OlympicG"
"Clay",10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,282,2,8820,"OlympicG"
"Karpov",10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,278.11,3,8725,"OlympicG"
"Macey",10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.4,58.46,265.42,4,8414,"OlympicG"
"Warners",10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.9,55.39,278.05,5,8343,"OlympicG"
"Zsivoczky",10.91,7.14,15.31,2.12,49.4,14.95,45.62,4.7,63.45,269.54,6,8287,"OlympicG"
"Hernu",10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.8,57.76,264.35,7,8237,"OlympicG"
"Nool",10.8,7.53,14.26,1.88,48.81,14.8,42.05,5.4,61.33,276.33,8,8235,"OlympicG"
"Bernard",10.69,7.48,14.8,2.12,49.13,14.17,44.75,4.4,55.27,276.31,9,8225,"OlympicG"
"Schwarzl",10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.1,56.32,273.56,10,8102,"OlympicG"
"Pogorelov",10.95,7.31,15.1,2.06,50.79,14.21,44.6,5,53.45,287.63,11,8084,"OlympicG"
"Schoenbeck",10.9,7.3,14.77,1.88,50.3,14.34,44.41,5,60.89,278.82,12,8077,"OlympicG"
"Barras",11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.6,64.55,267.09,13,8067,"OlympicG"
"Smith",10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.2,61.52,272.74,14,8023,"OlympicG"
"Averyanov",10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.8,54.51,271.02,15,8021,"OlympicG"
"Ojaniemi",10.68,7.5,14.97,1.94,49.12,15.01,40.35,4.6,59.26,275.71,16,8006,"OlympicG"
"Smirnov",10.89,7.07,13.88,1.94,49.11,14.77,42.47,4.7,60.88,263.31,17,7993,"OlympicG"
"Qi",11.06,7.34,13.55,1.97,49.65,14.78,45.13,4.5,60.79,272.63,18,7934,"OlympicG"
"Drews",10.87,7.38,13.07,1.88,48.51,14.01,40.11,5,51.53,274.21,19,7926,"OlympicG"
"Parkhomenko",11.14,6.61,15.69,2.03,51.04,14.88,41.9,4.8,65.82,277.94,20,7918,"OlympicG"
"Terek",10.92,6.94,15.15,1.94,49.56,15.12,45.62,5.3,50.62,290.36,21,7893,"OlympicG"
"Gomez",11.08,7.26,14.57,1.85,48.61,14.41,40.95,4.4,60.71,269.7,22,7865,"OlympicG"
"Turi",11.08,6.91,13.62,2.03,51.67,14.26,39.83,4.8,59.34,290.01,23,7708,"OlympicG"
"Lorenzo",11.1,7.03,13.22,1.85,49.34,15.38,40.22,4.5,58.36,263.08,24,7592,"OlympicG"
"Karlivans",11.33,7.26,13.3,1.97,50.54,14.98,43.34,4.5,52.92,278.67,25,7583,"OlympicG"
"Korkizoglou",10.86,7.07,14.81,1.94,51.16,14.96,46.07,4.7,53.05,317,26,7573,"OlympicG"
"Uldal",11.23,6.99,13.53,1.85,50.95,15.09,43.01,4.5,60,281.7,27,7495,"OlympicG"
"Casarsa",11.36,6.68,14.92,1.94,53.2,15.39,48.66,4.4,58.62,296.12,28,7404,"OlympicG"
"Krystyna,11.72,6.27,12.4,1.82,47.3,16.24,48.62,5.56,68.36,275.41,12,8223,Decastar"
"Norton,9.5,7.76,13.09,1.81,46.44,13.96,37.09,4.15,66.33,272.65,27,7937,Decastar"
"Ainslie,10.09,8.11,13.29,1.97,50.13,14.24,41.56,4.27,60.32,291.63,14,7586,OlympicG"
"Ruthy,10.84,6.47,14.78,1.82,49.44,15.42,41.01,5.05,69.9,282.69,30,8637,Decastar"
"Corrina,11.87,8.14,12.3,1.96,50.96,13.35,51.82,4.93,52.79,291.67,8,8513,Decastar"
"Skipton,10.03,6.67,14.73,1.91,49.84,14.82,41.56,5.77,54.62,261.61,20,8207,OlympicG"
"Geoffrey,11.57,7.79,13.51,1.93,56.5,15.4,38.41,4.56,51.96,267.91,5,8479,OlympicG"
"Daveen,9.8,6.74,15.0,1.98,56.88,16.24,39.77,4.37,52.06,297.57,19,8880,Decastar"
"Hazel,10.84,8.97,14.04,1.94,55.08,15.14,39.65,5.93,59.67,283.52,18,7233,OlympicG"
"Claudette,11.18,9.69,12.1,1.89,55.65,14.95,44.09,5.75,60.85,284.34,21,7886,Decastar"
"Norrie,11.57,5.18,13.91,1.92,53.79,15.61,44.07,5.62,51.22,268.51,26,7858,Decastar"
"Demeter,10.1,6.55,13.86,1.88,50.47,14.97,47.66,4.75,65.26,296.28,13,8472,OlympicG"
"Ruthann,10.49,5.95,14.02,1.87,52.28,16.63,39.59,5.1,61.25,260.87,15,8462,Decastar"
"Abey,9.08,7.42,13.13,1.95,45.1,15.35,38.5,5.73,66.39,262.98,30,7342,Decastar"
"Elfrida,10.93,9.53,14.36,1.98,45.28,15.67,48.92,5.67,65.54,281.06,1,7324,OlympicG"
"Sammy,10.86,9.35,13.68,1.92,49.92,15.09,42.97,4.48,69.99,283.09,3,8859,OlympicG"
"Astra,11.85,7.85,14.0,1.89,54.62,14.83,46.7,4.91,51.68,295.15,18,7277,Decastar"
"Mureil,10.28,5.2,13.0,1.9,46.1,13.15,41.53,5.3,52.52,278.09,22,7506,OlympicG"
"Lilla,10.0,6.54,12.54,1.92,56.95,15.02,51.21,4.3,68.19,290.88,5,7350,OlympicG"
"Em,10.47,9.27,13.29,1.93,49.77,16.62,42.83,5.38,51.07,285.24,28,8553,Decastar"
"Tait,11.37,8.45,12.34,1.99,45.81,15.41,37.65,4.76,52.2,280.42,12,8274,OlympicG"
"Boris,9.36,9.48,12.78,1.82,51.57,15.38,37.79,4.28,64.64,269.41,15,8614,OlympicG"
"Adelheid,10.77,6.01,14.14,1.85,51.99,15.83,40.75,5.96,56.02,296.88,30,7836,OlympicG"
"Giff,9.02,7.55,12.92,1.84,53.33,15.88,45.57,5.92,62.84,293.6,27,7700,OlympicG"
"Eugenio,9.8,7.97,14.84,1.94,47.79,13.11,38.13,4.2,55.98,270.03,27,7502,OlympicG"
"Dot,9.77,5.71,13.89,1.94,47.93,15.09,38.13,5.98,69.79,284.63,28,7647,Decastar"
"Ursulina,9.72,6.05,14.48,1.98,52.7,16.49,49.5,5.32,60.46,262.44,24,8898,OlympicG"
"Felipe,9.88,7.98,13.27,1.83,53.62,15.28,49.28,4.26,65.68,286.99,23,7976,Decastar"
"Mohammed,10.92,7.89,12.29,1.95,55.13,16.0,46.05,5.89,66.98,275.86,30,8006,Decastar"
"Emelina,11.77,5.12,14.0,1.82,54.15,15.42,47.24,4.88,58.52,263.67,6,7807,Decastar"
"Teena,11.18,7.47,13.56,1.87,54.61,16.35,46.53,5.99,51.28,294.3,8,7356,Decastar"
"Rici,11.55,6.89,14.67,1.81,45.16,14.33,51.54,5.48,50.01,274.0,7,8762,OlympicG"
"Arthur,11.02,9.25,14.57,1.81,49.88,15.73,46.96,5.64,57.45,296.23,20,8002,OlympicG"
"Darby,9.08,5.79,14.68,1.84,48.26,16.57,47.28,5.05,58.21,298.46,18,8256,OlympicG"
"Finley,10.85,8.52,13.66,1.81,49.91,13.55,51.51,5.81,68.22,299.17,4,8834,Decastar"
"Ulla,11.48,7.15,13.71,1.91,47.14,14.82,37.7,5.55,69.06,277.15,14,8762,OlympicG"
"Grantham,10.57,9.9,12.98,1.85,56.28,16.05,38.48,4.76,53.82,273.05,27,8699,Decastar"
"Stanton,9.6,6.27,14.62,1.97,46.13,16.85,50.95,4.56,51.23,278.2,17,7996,Decastar"
"Kirk,11.29,5.9,12.21,1.88,53.49,13.49,40.1,5.36,66.16,297.81,15,7417,Decastar"
"Aldrich,11.78,9.27,14.47,1.88,55.67,16.35,50.14,5.87,69.62,260.52,4,7556,Decastar"
"Gage,10.57,7.68,13.93,1.87,56.03,15.94,45.03,4.73,63.82,299.24,2,7555,OlympicG"
"Thomasine,9.85,6.39,13.49,1.85,45.17,16.67,40.7,5.76,54.92,261.34,2,7682,OlympicG"
"Vasili,10.66,9.78,14.25,1.89,47.15,13.2,44.19,4.23,50.64,280.46,14,7354,Decastar"
"Adel,9.1,6.37,12.31,1.96,49.74,15.91,39.47,4.81,52.45,263.12,1,8596,Decastar"
"Cassandra,9.13,6.31,14.31,1.96,46.17,16.57,51.61,5.77,51.38,286.27,8,7702,Decastar"
"Manolo,11.34,9.24,12.14,1.9,52.86,14.0,47.66,5.4,50.46,294.45,25,8604,OlympicG"
"Rowena,10.08,9.0,13.63,1.84,54.98,14.34,39.29,5.8,51.19,279.46,23,7390,OlympicG"
"Phillipp,11.03,8.78,12.53,1.99,54.87,13.43,37.63,4.35,64.99,278.15,17,8600,Decastar"
"Coop,11.34,7.38,13.67,1.91,51.97,13.19,47.58,4.83,67.82,264.15,26,7896,Decastar"
"Swen,10.15,9.16,13.44,1.87,50.16,16.67,41.25,4.65,69.85,299.14,25,7286,Decastar"
"Berry,9.53,5.27,14.06,1.95,48.54,16.54,42.39,4.42,68.53,292.6,13,7533,Decastar"
"Arabella,11.6,5.84,14.69,1.96,47.74,15.35,38.45,5.48,57.3,291.56,22,8485,Decastar"
"Lyle,9.69,5.79,13.34,1.99,55.29,14.71,45.28,4.3,54.54,277.53,9,7624,Decastar"
"Reyna,11.96,5.89,12.55,1.99,54.17,14.16,48.86,5.16,52.27,286.7,15,8063,Decastar"
"Feliks,10.56,9.66,13.47,1.83,49.37,14.13,44.52,5.07,68.62,280.42,3,7713,OlympicG"
"Betti,9.76,9.17,12.16,1.86,50.0,14.48,40.21,5.48,69.57,290.85,27,7634,OlympicG"
"Kalie,10.74,8.14,14.83,1.82,49.11,15.96,40.78,5.64,69.37,283.59,14,8291,OlympicG"
"Kimmy,9.97,8.51,14.68,1.97,47.05,14.38,44.67,5.03,65.82,263.92,7,7311,OlympicG"
"Lindy,10.97,7.25,14.54,1.99,45.73,14.83,42.78,4.53,68.16,272.34,28,7931,Decastar"
"Guilbert,9.4,5.2,13.97,1.92,45.92,16.88,37.88,4.8,65.2,276.45,16,7473,OlympicG"
"Georgena,10.21,7.28,12.46,1.82,56.27,15.57,46.11,5.3,59.11,262.59,20,8516,Decastar"
"Drew,9.47,8.76,13.77,1.86,54.53,14.86,40.41,5.24,56.65,279.2,25,7377,Decastar"
"Bernita,11.8,5.79,14.42,1.83,51.94,13.62,43.73,5.54,59.3,298.06,7,8185,Decastar"
"Roi,9.03,6.57,14.94,1.9,45.01,13.82,49.11,4.83,65.31,296.62,10,7526,Decastar"
"Hank,9.85,7.28,14.88,1.91,56.58,16.22,40.3,5.07,68.72,270.63,20,8302,Decastar"
"Ferdinand,10.52,7.27,13.3,1.83,52.34,14.3,38.88,5.54,54.97,262.32,1,8057,OlympicG"
"Clare,10.05,5.69,13.11,1.89,56.72,14.5,37.73,4.75,50.33,284.21,21,7868,OlympicG"
"Roseanne,11.26,9.2,14.77,1.87,50.63,16.52,41.96,5.12,57.26,289.39,28,8758,Decastar"
"Hussein,11.97,7.58,14.71,1.95,51.68,14.43,37.74,5.93,65.83,282.91,2,8384,Decastar"
"Colver,11.0,9.19,12.93,1.81,46.18,16.67,49.65,4.26,59.51,266.72,30,8077,Decastar"
"Sioux,10.61,7.8,12.59,1.97,46.88,13.19,39.62,5.27,56.84,265.68,28,7307,Decastar"
"Konrad,11.67,6.61,12.06,1.81,49.85,16.39,49.13,4.41,58.98,289.81,2,7625,Decastar"
"Vanny,9.98,7.23,14.13,1.9,48.96,13.58,45.72,5.63,54.03,265.94,8,7726,Decastar"
"Arlette,11.49,8.94,12.94,1.93,45.47,14.8,43.33,5.73,65.29,290.66,22,8350,Decastar"
"Pietro,10.87,8.86,14.19,1.99,53.84,13.68,51.81,5.45,63.83,267.94,1,7563,Decastar"
"Trisha,10.47,9.96,13.09,1.92,46.94,14.01,51.0,4.74,60.23,268.46,9,7808,OlympicG"
"Gretchen,9.12,7.66,14.42,1.83,47.9,15.56,51.7,4.8,61.59,290.47,25,7349,Decastar"
"Eyde,10.35,5.45,12.09,1.85,54.34,15.51,48.11,5.59,52.1,279.45,1,8661,Decastar"
"Jocelin,10.85,8.34,14.75,1.94,51.43,13.32,37.08,5.86,60.62,291.23,28,7323,OlympicG"
"Vera,11.8,6.39,14.58,1.94,45.55,16.01,46.84,5.02,58.65,293.91,21,7221,Decastar"
"Rip,10.94,5.31,13.02,1.97,45.24,13.23,47.55,5.43,61.24,266.78,27,8419,OlympicG"
"Hendrika,9.04,8.1,14.09,2.0,49.53,14.42,48.11,4.23,68.5,266.41,24,8797,Decastar"
"Leopold,11.92,8.32,14.21,1.94,49.17,15.01,39.56,5.67,52.62,291.82,11,7884,Decastar"
"Suzann,9.74,9.3,12.23,1.88,48.26,15.66,49.64,4.19,58.63,299.76,18,8209,Decastar"
"Rickey,10.26,9.32,13.3,1.83,51.48,15.73,45.16,5.05,65.02,284.21,7,8192,OlympicG"
"Demetria,9.84,6.8,14.99,1.88,45.95,16.04,43.47,5.45,53.31,281.36,23,8683,Decastar"
"Sonni,11.57,9.63,14.16,2.0,47.74,15.05,42.65,4.09,52.53,289.56,24,8023,Decastar"
"Matilde,9.29,7.44,14.43,1.85,46.27,15.63,43.88,5.55,62.76,265.35,28,8669,OlympicG"
"Harriot,9.45,5.21,13.86,1.9,51.09,14.26,46.67,5.51,62.9,285.83,2,8649,Decastar"
"Hewie,9.06,8.18,14.31,1.85,50.37,13.41,44.06,5.17,50.19,278.52,2,7299,Decastar"
"Gretta,10.62,5.26,14.02,1.96,55.61,13.31,43.05,5.06,65.77,283.07,13,8197,Decastar"
"Shurwood,9.75,6.07,12.6,1.86,50.21,13.11,48.21,4.08,67.4,293.21,11,7385,OlympicG"
"Ky,11.13,6.11,12.28,1.81,53.46,13.23,51.2,5.03,63.33,266.68,24,7543,OlympicG"
"Mata,11.0,9.92,14.36,1.87,53.49,15.96,42.82,5.94,55.26,272.13,27,7617,Decastar"
"Franklin,10.18,5.71,14.41,1.96,47.14,15.25,38.98,4.94,65.34,267.68,18,8749,Decastar"
"Tracey,11.33,5.25,14.92,1.99,48.49,14.35,50.97,4.76,51.53,273.51,23,7321,Decastar"
"Gus,9.93,7.37,12.06,1.95,48.61,14.49,42.43,4.65,54.37,298.46,26,8367,Decastar"
"Merrill,10.37,8.48,13.23,1.81,56.23,15.71,41.58,4.52,57.16,262.03,14,7722,OlympicG"
"Consuelo,11.67,8.56,12.97,1.99,53.99,15.18,51.65,5.9,50.49,261.27,7,7775,Decastar"
"Cherlyn,11.88,6.62,12.46,1.99,47.13,14.1,46.19,5.12,63.48,293.03,22,7316,Decastar"